Day, Susceptible, Infected, Recovered, Dead, Detection Probability, R₀, Latent, Prodromal, Symptomless Infectious, Sick, Hospitalized, ICU, Isolated, Home Isolated, Infections, Sick, Med. Consult., Hospitalizations, ICU Adm., Deaths, Infections, Sick
0,84999000,1000,0,0,0,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00003979477961,1.82168680178704E-08
1,84998998.9999603,1001.00003979478,1.07945542319982E-29,3.58051681769791E-32,8.11051226179416E-12,3,1000.99514921422,0.004890549150857,1.31915251163889E-08,1.82168680178704E-08,8.19759060804168E-10,2.04939765201042E-10,0,1.82168680178704E-08,1.00003979477961,1.82168680178704E-08,7.28674720714816E-09,8.19759060804168E-10,2.04939765201042E-10,3.58051681769791E-32,1.22740129360894,0.023386296346879
2,84998997.772559,1002.22744108839,9.27629919205163E-18,3.07691679983251E-20,1.04120627015813E-05,3,993.994691458698,8.1924283976841,0.016934917442714,0.023386314563747,0.001052384155369,0.000263096038842,0,0.023386314563747,2.22744108838855,0.023386314563747,0.009354525825499,0.001052384155369,0.000263096038842,3.07691679983251E-20,9.75859626219848,6.90888010035457
3,84998988.0139627,1011.98603735058,1.09961138074031E-11,3.64737344132447E-14,0.003081643970617,3,856.340750714448,143.693103162142,5.01991705907415,6.93226641491192,0.311951988671036,0.077987997167759,0,6.93226641491192,11.986037350587,6.93226641491832,2.77290656596733,0.311951988671324,0.077987997167831,3.64737344132447E-14,53.5354063852674,88.4798843099692
4,84998934.4785563,1065.52144366889,6.67428138382195E-08,2.21383636852588E-10,0.041590031456102,3,531.899220069622,369.118515519875,69.0915573933454,95.4121506860483,4.29354678087217,1.07338669521804,0,95.4121506860483,65.5214437358544,95.4121507248876,38.164860289955,4.29354678261994,1.07338669565499,2.21383636852588E-10,124.972178342171,212.680095706102
5,84998809.506378,1190.49359221846,2.9760847889755E-05,9.87157172848738E-08,0.128177687599504,3,345.497513176136,313.802580572597,223.101269357286,308.092229112443,13.8641503100599,3.46603757751498,0,308.092229112443,190.493622078025,308.09224643099,123.236898572396,13.8641510893945,3.46603777234863,9.87157172848738E-08,180.294583063677,178.339374858093
6,84998629.2117949,1370.78586961358,0.002327806864863,7.72125596746456E-06,0.19472414435367,3,398.225918945909,133.887077076686,352.242606908214,486.430266682772,21.8893620007247,5.47234050018119,0,486.430266682772,370.788205141703,486.431621289082,194.572648515633,21.8894229580087,5.47235573950218,7.72125596746456E-06,206.46712296976,76.2798274486943
7,84998422.744672,1577.19639463132,0.058738646053574,0.000194834085339,0.221613488261744,3,551.494432594236,55.5687425210593,407.455952196732,562.677267319296,25.3204770293683,6.33011925734208,0,562.677267319296,577.255328111462,562.711448737777,225.084579495111,25.3220151932,6.33050379829999,0.000194834085339,220.295028044196,32.5792374556487
8,84998202.4496439,1796.87166663839,0.676445769720294,0.002243747544076,0.232824078469369,3,700.948309365875,70.2387947321535,430.787516266954,594.897046273412,26.7703670823035,6.69259177057589,0,594.897046273412,797.550356155659,595.290686193426,238.11627447737,26.7880808787041,6.69702021967604,0.002243747544076,237.565827416368,41.7002558980863
9,84997964.8838165,2030.7206719251,4.38098008541881,0.014531561504729,0.246945241297175,3,816.985127680069,119.870810906593,459.423188002146,634.441545336296,28.5498695401333,7.13746738503333,0,634.441545336296,1035.11618357203,636.990942091512,254.796376836605,28.664592394118,7.16614809852951,0.014531561504729,263.287032594501,70.4083153825954
10,84997701.5967839,2279.9660112338,18.3762515332164,0.060953399507586,0.27021926634685,3,911.837766300398,166.911557669393,504.511008650885,696.705678613127,31.3517555375907,7.83793888439768,0,696.705678613127,1298.40321616653,707.399257474107,282.959702989643,31.8329665863348,7.95824164658371,0.060953399507586,294.570251564237,97.3753746896223
11,84997407.0265323,2537.67306635086,55.1175782529452,0.182823126961973,0.301267156351648,3,1006.9296155955,198.501382887454,559.541668504519,772.700399363383,34.7715179713522,8.69287949283806,0,772.700399363383,1592.97346773077,804.774632163729,321.909852865492,36.2148584473678,9.05371461184196,0.182823126961973,325.880620245684,115.506241506547
12,84997081.1459121,2791.26948910533,127.162804187252,0.421794683867923,0.336450546440826,3,1112.44531054903,219.717615926944,612.82475630433,846.281806325027,38.0826812846262,9.52067032115655,0,846.281806325027,1918.85408797645,920.280873670276,368.11234946811,41.4126393151624,10.3531598287906,0.421794683867923,353.653476063735,127.80021589681
13,84996727.492436,3033.00631110201,238.709461795958,0.791791142213596,0.373384162685186,3,1225.20705438358,240.264148334048,658.364745521444,909.170362862946,40.9126663288326,10.2281665822081,0,909.170362862946,2272.50756404018,1048.08108956709,419.232435826834,47.1636490305189,11.7909122576297,0.791791142213596,378.353625060781,139.807571384546
14,84996349.1388109,3268.11222615218,381.483594877275,1.26536807150868,0.411477980614652,3,1337.51859688969,265.258694018806,699.440672802348,965.894262441338,43.4652418098602,10.8663104524651,0,965.894262441338,2650.86118910096,1187.88866095163,475.155464380653,53.4549897428234,13.3637474357059,1.26536807150868,403.558234777341,154.378622374987
15,84995945.5805761,3513.4639333992,539.167091627582,1.78839885152392,0.450857379265056,3,1446.03146296383,294.134024144447,744.785347442189,1028.51309884874,46.2830894481932,11.5707723620483,0,1028.51309884874,3054.41942387831,1342.26728332662,536.906913330648,60.4020277496978,15.1005069374245,1.78839885152392,433.392638882231,171.136710661627
16,84995512.1879373,3788.95184333446,696.549787540655,2.31043188542261,0.491410119131148,3,1554.8420265667,323.652805179622,802.391944867019,1108.06506672112,49.8629280024504,12.4657320006126,0,1108.06506672112,3487.81206276054,1513.40399398825,605.361597595298,68.1031797294711,17.0257949323678,2.31043188542261,470.356443708772,187.248220278369
17,84995041.8314936,4108.90987326085,846.450984167072,2.80764904138716,0.532323254621672,3,1672.95238992123,353.057126433225,874.818149900685,1208.08220700571,54.3636993152569,13.5909248288142,0,1208.08220700571,3958.16850646931,1700.65221426661,680.260885706646,76.5293496419976,19.1323374104994,2.80764904138716,514.57472771549,205.243609928242
18,84994527.2567659,4478.80088526638,990.6563755129,3.28597340552431,0.5733689129738,3,1809.11632745289,377.599623637328,962.675672353985,1329.40926182217,59.8234167819976,14.9558541954994,0,1329.40926182217,4472.7432341848,1905.89582419486,762.358329677943,85.7653120887685,21.4413280221921,3.28597340552431,564.926647544527,216.749616614598
19,84993962.3301184,4897.3576199263,1136.54238946551,3.76987233752081,0.612802965870069,3,1968.5313797659,409.40498332644,1058.15692787026,1461.2643289637,65.7568948033664,16.4392237008416,0,1461.2643289637,5037.66988172932,2122.64544080945,849.058176323782,95.5190448364254,23.8797612091064,3.76987233752081,619.901045968554,238.011154565151
20,84993342.4290724,5360.76207413176,1292.52160349624,4.28725006988961,0.651914512829351,3,2151.78659535523,435.686754110576,1164.7812643597,1608.50746030625,72.3828357137814,18.0957089284453,0,1608.50746030625,5657.57092769788,2360.6565953746,944.262638149842,106.229546791857,26.5573866979643,4.28725006988961,678.860674664255,253.367619378602
21,84992663.5683978,5866.1257461133,1465.44502508808,4.86083116075865,0.689224983182225,3,2356.77466944566,472.718631617839,1275.38562692092,1761.24681812888,79.2561068157997,19.8140267039499,0,1761.24681812888,6336.43160236213,2614.02421475321,1045.60968590128,117.631089663894,29.4077724159736,4.86083116075865,741.832343767803,274.126174272182
22,84991921.736054,6413.07273688898,1659.68608710321,5.50512213775062,0.72510823533983,3,2580.92369957309,517.770610306175,1392.03893934408,1922.33948766563,86.5052769449534,21.6263192362384,0,1922.33948766563,7078.26394612994,2888.15038902539,1155.26015561016,129.966767506143,32.4916918765356,5.50512213775062,809.44241895269,301.204034562109
23,84991112.293635,7003.7090909883,1877.76877910617,6.22849498815585,0.759781039130844,3,2822.99519243759,565.824235425208,1518.25365851271,2096.63600461279,94.3486202075754,23.5871550518938,0,2096.63600461279,7887.70636508263,3189.3544235875,1275.741769435,143.520949061437,35.8802372653593,6.22849498815585,882.532323791506,324.533916609223
24,84990229.7613112,7642.09808760828,2121.10496843807,7.03563282778492,0.792267030835075,3,3083.54898480408,628.261531317085,1650.72078002459,2279.56679146252,102.580505615814,25.6451264039534,0,2279.56679146252,8770.23868887413,3513.88834019672,1405.55533607869,158.124975308852,39.5312438272131,7.03563282778492,961.756551816128,365.455519507769
25,84989268.0047594,8333.49654292712,2390.56926106834,7.92943669480495,0.823618347484757,3,3364.40215942287,679.069185225176,1801.81058327721,2488.21461500187,111.969657675084,27.992414418771,0,2488.21461500187,9731.99524069026,3879.34385970449,1551.7375438818,174.570473686702,43.6426184216755,7.92943669480495,1048.08714644695,390.531183163834
