Day, Susceptible, Infected, Recovered, Dead, Detection Probability, R₀, Latent, Prodromal, Symptomless Infectious, Sick, Hospitalized, ICU, Isolated, Home Isolated, Infections, Sick, Med. Consult., Hospitalizations, ICU Adm., Deaths, Infections, Sick
0,84999000,1000,0,0,0,3,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00003979487391,1.82168680178704E-08
1,84998998.9999603,1001.00003979487,1.07606335463568E-29,6.97258538183278E-32,8.11051226179416E-12,3,1000.99514921431,0.004890549150857,1.31915251163889E-08,1.82168680178704E-08,8.19759060804168E-10,2.04939765201042E-10,0,1.82168680178704E-08,1.00003979487391,1.82168680178704E-08,7.28674720714816E-09,8.19759060804168E-10,2.04939765201042E-10,6.97258538183278E-32,1.22773030647943,0.023386296346879
2,84998997.77223,1002.22777010135,9.24714945394796E-18,5.99189061020016E-20,1.04120627015813E-05,3,993.995020471663,8.19242839768411,0.016934917442714,0.023386314563747,0.001052384155369,0.000263096038842,0,0.023386314563747,2.22777010135334,0.023386314563747,0.009354525825499,0.001052384155369,0.000263096038842,5.99189061020016E-20,9.95989710935056,6.9088801003569
3,84998987.8123329,1012.18766721069,1.09615597432221E-11,7.10277985942134E-14,0.003081643970618,3,856.542380563694,143.693103173009,5.01991705907583,6.93226641491424,0.311951988671141,0.077987997167785,0,6.93226641491424,12.1876672107039,6.93226641492064,2.77290656596826,0.311951988671429,0.077987997167857,7.10277985942134E-14,58.5719367403915,88.4798711986185
4,84998929.2403961,1070.75960388413,6.65330819717276E-08,4.31115503344514E-10,0.041590025861614,3,537.137345102062,369.118573308449,69.0915478989207,95.4121375746999,4.2935461908615,1.07338654771537,0,95.4121375746999,70.7596039510954,95.4121376135392,38.1648550454157,4.29354619260926,1.07338654815232,4.31115503344514E-10,150.265093803287,212.680045525914
5,84998778.9753024,1221.02466790273,2.96594682497271E-05,1.92184943256428E-07,0.128177663114104,3,376.021325225894,313.809953322534,223.101223528807,308.092165825495,13.8641474621473,3.46603686553682,0,308.092165825495,221.024697754383,308.092183139454,123.236873255781,13.8641482412754,3.46603706031885,1.92184943256428E-07,232.516725609004,178.345810007687
6,84998546.4585767,1453.53908795243,0.002320375576534,1.50353757105487E-05,0.194726434726711,3,480.733929841379,134.12129844073,352.247221061537,486.436638608789,21.8896487373955,5.47241218434887,0,486.436638608789,453.541423363387,486.437993147141,194.575197258856,21.8897096916213,5.47242742290533,1.50353757105487E-05,274.936516065768,76.4452371282185
7,84998271.5220607,1728.41899111291,0.058568806987211,0.00037950926,0.221673161597875,3,700.004582018716,57.9850293494739,407.580339492781,562.849040251936,25.3282068113371,6.33205170283428,0,562.849040251936,728.477939429155,562.883230275359,225.153292110144,25.3297453623912,6.33243634059779,0.00037950926,296.038734874463,34.1292210886451
8,84997975.4833258,2023.83795824195,0.674346487661344,0.004369574005008,0.233413576730136,3,913.939382510962,81.2454790960962,432.034300586655,596.618796048238,26.8478458221707,6.71196145554268,0,596.618796048238,1024.51667430362,597.012451364004,238.804980545602,26.8655603113802,6.71639007784505,0.004369574005008,321.261083436248,48.3493107181041
9,84997654.2222424,2341.38224336092,4.36721605736913,0.028298321571621,0.249756895319219,3,1084.97697953118,148.108084963668,465.484815123751,642.812363742323,28.9265563684045,7.23163909210113,0,642.812363742323,1345.77775773987,645.361762082109,258.144704832843,29.0412792936949,7.26031982342372,0.028298321571621,361.879970506035,87.1533181785952
